Emoji	Class	Subclass	Name	Description
🐍	chineseZodiac		snake	a sign of the Snake in Chinese zodiac
🐎🐴	chineseZodiac		horse	a sign of the Horse in Chinese zodiac
🐑	chineseZodiac		sheep	a sign of the Sheep in Chinese zodiac
🐒🐵	chineseZodiac		monkey	a sign of the Monkey in Chinese zodiac
🐓	chineseZodiac		cock	a sign of the Cock in Chinese zodiac
🐕🐶	chineseZodiac		dog	a sign of the Dog in Chinese zodiac
🐗	chineseZodiac		boar	a sign of the Boar in Chinese zodiac
👠	dress		highHeels	a symbol of high heels
👗	dress		dress	a symbol of dress, clothes
☺️😀🙂	emotion		smile	a smile sign
😢	emotion		cry	crying sign
☹️😞🙁	emotion		sad	a sad sign
😠	emotion		angry	angry sign
😝😛😜😏	emotion		pullFace	pull faces sign
😍	emotion		inLove	a sign of “in love”
😨😱😮😯	emotion		shock	a sign showing shocked
😓😰	emotion		coldSweat	a sign of cold sweat
	emotion		shakenHeart	a sign showing shaken feeling
💔	emotion		brokenHeart	a sign of broken heart
😞😖	emotion		discourage	a sign showing discouraged feeling
🤔💡	emotion		flash	a sign showing inspired feeling
💤😴😫😩	emotion		sleepy	a sleepy sign
😟	emotion		anxious	an anxious sign
😮😯😲	emotion		surprised	a sign showing surprised feeling
☝️	emotion		tutting	a tutting sign
😄😃😀😁😂	emotion		happy	a sign of happy feeling
👊	emotion		punch	a symbol of punch
😉	emotion		wink	a symbol of wink
👍	emotion		thumbsUp	a symbol of thumbs up
👎	emotion		thumbsDown	a symbol of thumbs down
😗😘😙😚	emotion		kiss	a kiss symbol
😕😒🤔	emotion		smell	a symbol of suspiciousness
😎	emotion		cool	a symbol of being attractive, fashionable
🤗	emotion		hug	a symbol of hug
😱😨😲😵	emotion		trapped	a symbol for being trapped
✨	emotion		shine	a shining sign
🏆🏅🏵	entertainment		prize	a symbol of prize
🎰	entertainment		slotMachine	a symbol of slot machine
🏇	entertainment		horserace	a symbol of horse racing
🚤🛥	entertainment		motorboatRace	a symbol of motor boat racing
🚴	entertainment		bicycleRace	a symbol of bicycle racing
♥️	entertainment		heart	a symbol of heart from cards
♦️	entertainment		diamond	a symbol of diamond from cards
♠️	entertainment		spade	a symbol of spade from cards
♣️	entertainment		clover	a symbol of clover from cards
🎯	entertainment		hitDart	a symbol shown dart hit at the centre
👑🔱	entertainment		crown	a symbol of crown
🍺🍻	food		beer	a symbol of beer
🍴	food		forkKnife	a symbol of fork and knife
🍸🍹	food		cocktail	a symbol of cocktail glass
🍰🎂	food		cake	a symbol of cake
☕️	food		coffeeCup	a symbol of coffee cup
♈️	horoscope		aries	Aries / the Ram
♉️	horoscope		taurus	Taurus / the Bull
♊️	horoscope		gemini	Gemini / the Twins
♋️	horoscope		cancer	Cancer / the Crab
♌️	horoscope		leo	Leo / the Lion
♍️	horoscope		virgo	Virgo / the Virgin
♎️	horoscope		libra	Libra / the Balance
♏️	horoscope		scorpio	Scorpio / the Scorpion
♐️	horoscope		sagittarius	Sagittarius / the Archer
♑️	horoscope		capricorn	Capricorn / the Goat
♒️	horoscope		aquarius	Aquarius / the Water Bearer
♓️	horoscope		pisces	Pisces / the Fishes
⛎	horoscope		ophiuchus	Ophiuchus / the Serpens Holder
👶🚼	human	age	baby	baby
👁👀	human	body	eye	eye(s)
👂	human	body	ear	ear(s)
✊	human	body	rock	a rock symbol of “scissors-paper-rock”
✌️	human	body	scissors	a rock symbol of “scissors-paper-rock”
✋	human	body	paper	a rock symbol of “scissors-paper-rock”
👣	human	body	foot	a symbol of foot
👞👟👢	human	body	shoes	shoe
👓	human	body	spectacles	eye glasses
♿️	human	body	wheelchair	wheelchair
👨🚹	human	gender	man	man
👩🚺	human	gender	woman	woman
👿	humanoid		devil	devil
💀☠️	humanoid		skull	skull sign
👽👾	humanoid		alien	alien
👻	humanoid		ghost	ghost
😇👼	humanoid		angel	angel
🚦🚥	map		signal	a sign of traffic signal
🅿️	map		parking	a sign of parking place
🚏	map		busStop	a sign of bus stop
🚾🚻	map		restroom	a sign of restroom
👮	map		policeStation	a sign of police station or police box
🏤🏣	map		postOffice	a sign of post office
🏦	map		bank	a sign of bank
🏧	map		atm	a sign of automatic teller machine
🏥	map		hospital	a sign of hospital
🏪	map		convenienceStore	a sign of convenience store
🏫	map		school	a sign of school
	map		park	a sign of park
🏨	map		hotel	a sign of hotel
⛽️	map		gasStation	a sign of gas station
🏠	map		house	a sign of house
⛪️	map		cross	a sign of church or cross
🍽🍴	map		restaurant	a sign of meals/restaurant
🏬	map		store	a sign of store/shopping mall
☕️🍵	map		cafe	a sign of tearoom, coffee shop
🍔🍟🌭🍕	map		fastfood	a sign of fast-food shop
🍻🍺🍷🍸🍹	map		pub	a sign of bar, pub
🎦📽🎞🎬	map		movie	a sign of cinema
🎤	map		karaoke	a sign of karaoke bar
♨️🛀	map		spa	a sign of spa house
🎡🎢🎠	map		amusementPark	a sign of amusement park
	map		zoo	a sign of zoo
🏗🏘🏠🏡🏢	map		building	a sign of building
🎫🎟	map		ticket	a sign of ticket or ticket shop
🚭	map		noSmoking	a sign of place prohibited to smoke
🚬	map		smoking	a sign of place allowed to smoke
🎁	misc		giftBox	a symbol of gift box
🔥	misc		fire	a symbol of fire
☃️⛄️	misc		snowman	a symbol of snowman
🚧🏗	misc		work	a sing showing “under work”
💸💵💴💶💷💰	misc		money	a symbol showing money, cash
🎵🎶	music		quarterNote	a quarter note sign
🎼	music		G-clef	a G clef sign
	music		rest	a rest sign
🎸	music		guitar	a symbol of guitar
🍀	plant		fourLeafClover	a four-leaf clover
🌻🌷🌹🌼💐	plant		flower	a symbol of flower
🏆🏅	ranking		trophy	a symbol of the 1st prize trophy
🥇	ranking		gold	a symbol of gold medal, the 1st rank
🥈	ranking		silver	a symbol of silver medal, the 2nd rank
🥉	ranking		bronze	a symbol of bronze medal, the 3rd rank
⛹🏃…	sport		sport	a symbol indicating sport
⚾️	sport		baseball	a symbol of baseball
⚽️	sport		soccer	a symbol of soccer, football
🏀	sport		basketball	a symbol of basketball
🎿⛷	sport		ski	a symbol of ski
🏕⛺️	sport		camp	s symbol of camping
🏁🏍🏎	sport		motorSport	a symbol of motor sport
🏁	sport		checkerFlag	a symbol of checker flag
⛳️🏌	sport		golf	a symbol of golf
🏄	sport		surfing	a symbol of surfing
🎣	sport		fishing	a symbol of fishing
🏇	sport		horseriding	a symbol of horse riding
🏈	sport		americanFootball	a symbol of American football
🏊	sport		swimming	a symbol of swimming
	sport		scuba	a symbol of scuba diving
📅📆🗓	time	event	anniversary	a sign of anniversary
📅📆🗓🎌	time	event	holiday	a sign of holiday
🎅🎄	time	event	xmas	a sign of Christmas (X’mas) season
🎂🎀	time	event	birthday	a sign of birthday
🎊🎉	time	event	party	a sign of a party event
🎆🎇	time	event	newYearsEve	a sign of New Year’s Eve
🎇🎆📆🗓📅	time	event	newYearsDay	a sign of New Year's Day
🕒	time	schedule	3oclock	a clock sign showing 3 o’clock
📆🗓📅	time	schedule	calendar	a symbol of calendar
🌱🌷🌼	time	season	spring	a sign of Spring
🌞☀️	time	season	summer	a sign of Summer
🍃🍂🌬☂️☔️🌫	time	season	autumn	a sign of Autumn
❄️☃️⛄️🌨	time	season	winter	a sign of Winter
🔨	tool		hammer	a symbol of hammer
🚌🚍	vehicle		bus	a symbol of bus
🚂🚃🚆	vehicle		train	a symbol of train
🚄🚅	vehicle		expressTrain	a symbol of express train
🚗🚘	vehicle		car	a symbol of car
🚕🚖	vehicle		taxi	a sign of taxi
✈️	vehicle		plane	a symbol of air plane
⛴🛳	vehicle		ship	a symbol of ship, boat
🚶	vehicle		onFoot	a symbol of “on foot”
🚇	vehicle		subway	a sign of subway, tube, underground train
🚀	vehicle		rocket	a symbol of rocket
🔫	weapon		gun	a symbol of gun, pistol
💣	weapon		bomb	a symbol of bomb
☀️🌤	weather		sunny	sunny sign
🌧🌦	weather		rainy	rainy sign
☁️⛅️🌥	weather		cloudy	cloudy sign
🌨❄️☃️	weather		snow	snowy sign
🌩⛈⚡️	weather		thunder	thunder
🌫🌁	weather		foggy	foggy sign
🌊	weather		wave	wave
